(hpc) [amw9425@gv009 ~]$ timeout 3m nvidia-smi dmon
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    0   269    66    70    97    60     0     0   877  1530
    0   266    65    70    97    63     0     0   877  1530
    0   277    66    68    98    67     0     0   877  1530
    0   298    63    66     0     0     0     0   877  1530
    0   295    65    68    97    70     0     0   877  1522
    0   252    65    69    97    72     0     0   877  1530
    0   259    65    70    97    71     0     0   877  1515
    0   278    64    67    98    66     0     0   877  1530
    0   290    65    67    97    66     0     0   877  1530
    0   213    65    69    97    61     0     0   877  1530
    0   272    65    68    97    66     0     0   877  1530
    0   284    65    68    97    67     0     0   877  1530
    0   222    65    69    97    59     0     0   877  1530
    0   265    65    69    97    63     0     0   877  1530
    0   293    66    68    97    66     0     0   877  1530
    0   251    66    69    97    64     0     0   877  1530
    0   248    65    70    97    60     0     0   877  1530
    0   274    65    68    98    65     0     0   877  1530
    0   264    66    69    96    67     0     0   877  1522
    0   266    65    70    97    60     0     0   877  1530
    0   276    66    68    97    62     0     0   877  1530
    0   279    66    69    97    66     0     0   877  1530
    0   249    65    70    97    67     0     0   877  1530
    0   268    65    68    97    59     0     0   877  1530
    0   289    66    68    97    63     0     0   877  1530
    0   244    65    70    98    66     0     0   877  1530
    0   294    66    68    97    67     0     0   877  1530
    0   279    66    68    97    63     0     0   877  1530
    0   210    65    69    96    65     0     0   877  1530
    0   275    66    69    97    65     0     0   877  1530
    0   283    66    68    97    60     0     0   877  1530
    0   247    66    70    97    65     0     0   877  1522
    0   266    65    70    97    67     0     0   877  1530
    0   293    66    69    97    61     0     0   877  1530
    0   281    66    69    97    62     0     0   877  1530
    0   219    66    70    98    66     0     0   877  1530
    0   266    65    70    97    67     0     0   877  1530
    0   276    66    69    97    59     0     0   877  1522
    0   300    66    69    97    63     0     0   877  1530
    0   243    66    70    97    66     0     0   877  1530
    0   279    66    68    97    67     0     0   877  1530
    0   275    66    68    97    60     0     0   877  1530
    0   221    66    69    97    64     0     0   877  1530
    0   284    66    69    97    67     0     0   877  1530
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    0   269    66    68    97    63     0     0   877  1530
    0   263    66    69    97    61     0     0   877  1522
    0   265    66    71    98    66     0     0   877  1530
(hpc) [amw9425@gv009 ~]$ 
